battery_id,battery_formula,framework_formula,formula_charge,formula_discharge,working_ion,average_voltage,capacity_grav,capacity_vol,energy_grav,energy_vol,max_delta_volume,stability_charge,stability_discharge,num_steps,nelements,chemsys,elements,id_charge,id_discharge,material_ids,warnings
BAT_00059,Li0.12-0.75FeBO3,FeBO3,LiFe8(BO3)8,Li3Fe4(BO3)4,Li,3.088902297333326,139.75415237410357,459.3098166036204,431.6869223302403,1418.763147694672,0.010646791974403,0.08413373256096701,0.028555960978262,3,3,B-Fe-O,"Fe,B,O",mp-761206,mp-760195,"mp-761206,mp-764566,mp-761201,mp-849720,mp-761255,mp-882580,mp-882858,mp-882582,mp-759167,mp-849708,mp-882849,mp-761234,mp-759466,mp-774421,mp-777347,mp-761241,mp-764506,mp-764722,mp-761231,mp-760280,mp-764679,mp-764508,mp-759397,mp-764514,mp-761230,mp-760284,mp-759895,mp-761207,mp-758730,mp-849590,mp-761192,mp-760227,mp-764507,mp-760243,mp-775280,mp-759159,mp-774994,mp-761253,mp-760254,mp-759129,mp-760195",
BAT_00060,Li0.12-0.88FeBO3,FeBO3,LiFe8(BO3)8,Li7Fe8(BO3)8,Li,3.069231903333336,166.4997483716783,547.6656118369083,511.02633959932774,1680.9127682084102,0.007534745048858001,0.08043195256096701,0.012151477500006001,4,3,B-Fe-O,"Fe,B,O",mp-849747,mp-1176890,"mp-849747,mp-849742,mp-849622,mp-849612,mp-849620,mp-849619,mp-758915,mp-764815,mp-759902,mp-761244,mp-766625,mp-759622,mp-761198,mp-777445,mp-761211,mp-1176890",
BAT_00061,Li0.12-0.88FeBO3,FeBO3,LiFe8(BO3)8,Li7Fe8(BO3)8,Li,3.021255741666669,166.49974837167827,547.093353429723,503.03832075398856,1652.908935277223,0.008460838951531,0.08394199719511301,0.021338047712772,6,3,B-Fe-O,"Fe,B,O",mp-775187,mp-764896,"mp-775187,mp-761225,mp-761256,mp-761212,mp-759950,mp-761195,mp-1177659,mp-764938,mp-764796,mp-764874,mp-764621,mp-761213,mp-764741,mp-764624,mp-761277,mp-764547,mp-764573,mp-764652,mp-767427,mp-760257,mp-759371,mp-760310,mp-759537,mp-849632,mp-764512,mp-761243,mp-761242,mp-777373,mp-764654,mp-766603,mp-764932,mp-764896",
BAT_00062,Li1.5-2.5FeBO4,FeBO4,Li3Fe2(BO4)2,Li5Fe2(BO4)2,Li,3.118528430833334,181.08362523817524,481.92911208901154,564.7144336636181,1502.909637695847,0.045135133698451006,0.10403315093333201,0.059448183676458,2,3,B-Fe-O,"Fe,B,O",mp-759625,mp-760269,"mp-759625,mp-771016,mp-760269",More than one working ion per transition metal
BAT_00063,Li2-3Fe(BO3)2,Fe(BO3)2,Li2Fe(BO3)2,Li3Fe(BO3)2,Li,4.390224110833334,137.94831313650306,390.92724842758093,605.6240103806625,1716.2582316284986,0.039108727628768006,0.081872459446965,0.000909045416668,1,3,B-Fe-O,"Fe,B,O",mp-766461,mp-770825,"mp-766461,mp-1176790,mp-770825",More than one working ion per transition metal
BAT_00064,Li3-5Fe3(BO3)4,Fe3(BO3)4,Li3Fe3(BO3)4,Li5Fe3(BO3)4,Li,3.034782785833333,122.52755412567656,374.82990350331875,371.84451205086526,1137.5273387674413,0.016365175440707,0.08847451244320201,0.025273971979173002,2,3,B-Fe-O,"Fe,B,O",mp-766497,mp-766507,"mp-766497,mp-766514,mp-766507",More than one working ion per transition metal
BAT_00065,Li2-3FeBPO7,FeBPO7,Li2FeBPO7,Li3FeBPO7,Li,5.488448513333329,116.30135989029903,327.15448625485146,638.3140257885561,1795.5705537157685,0.030709602871123003,0.37106577431547305,0.234128263214283,1,4,B-Fe-O-P,"Fe,B,P,O",mp-777716,mp-756319,"mp-777716,mp-756319",More than one working ion per transition metal
BAT_00066,Li0-1Na3MnBPO7,Na3MnBPO7,Na3MnBPO7,Na3LiMnBPO7,Li,1.787483368333331,94.16288981191512,256.82859729585937,168.31459945300236,459.07684617872735,0.077817347893783,0.007923116267154001,0.07598152607142701,1,5,B-Mn-Na-O-P,"Na,Mn,B,P,O",mp-768574,mp-759559,"mp-768574,mp-759559",
BAT_00067,Li0.5-1MnBO3,MnBO3,LiMn2(BO3)2,LiMnBO3,Li,3.377766573333322,111.03600497862858,347.27401844580623,375.053706053284,1173.010571293384,0.029670025448125,0.06839528427274201,0.006070880000001001,1,3,B-Mn-O,"Mn,B,O",mp-759375,mp-753767,"mp-759375,mp-780096,mp-850907,mp-780194,mp-780659,mp-766484,mp-753767",
BAT_00068,Li0-0.5MnB4O7,MnB4O7,MnB4O7,LiMn2(B4O7)2,Li,-2.53556465166667,62.72335305327053,223.85936196332256,-159.0391168358815,-567.6098851388551,0.027946722961072003,0.060734956874999003,0.229443511754293,1,3,B-Mn-O,"Mn,B,O",mp-557663,mp-1236349,"mp-557663,mp-1236349",
BAT_00069,Li0-1MnBO3,MnBO3,MnBO3,LiMnBO3,Li,4.069228861666677,222.07200995725717,705.5302425822467,903.6618322864007,2870.9640258943705,0.007151468219929001,0.22327976513542103,0.0,3,3,B-Mn-O,"Mn,B,O",mp-25296,mp-19131,"mp-25296,mp-849540,mp-849414,mp-849625,mp-777991,mp-777985,mp-849498,mp-831261,mp-19131",
BAT_00070,Li0.5-0.75MnBO3,MnBO3,LiMn2(BO3)2,Li3Mn4(BO3)4,Li,3.524345443333349,56.327882171785355,176.19708801331754,198.51891486474952,620.9794042683408,0.014915362475103002,0.07640594154547001,0.037167577260884,1,3,B-Mn-O,"Mn,B,O",mp-850898,mp-754552,"mp-850898,mp-754552",
BAT_00071,Li0.5-1MnBO3,MnBO3,LiMn2(BO3)2,LiMnBO3,Li,3.431894488333331,111.03600497862858,352.8478688974041,381.0638534927078,1210.9366564891632,0.012613314042032002,0.07273946881819701,0.005542389583333001,1,3,B-Mn-O,"Mn,B,O",mp-849588,mp-831163,"mp-849588,mp-763194,mp-755030,mp-831163",
