battery_id,battery_formula,framework_formula,formula_charge,formula_discharge,working_ion,average_voltage,capacity_grav,capacity_vol,energy_grav,energy_vol,max_delta_volume,stability_charge,stability_discharge,num_steps,nelements,chemsys,elements,id_charge,id_discharge,material_ids,warnings,element_list,has_transition_metal,oxide,sulfide,fluoride,phosphate_possible,silicate_possible,has_main_transition_metal,max_stability,charge_file,discharge_file,charge_status,discharge_status,charge_volume_raw,discharge_volume_raw,charge_framework_units,discharge_framework_units,charge_volume_normalized,discharge_volume_normalized,endpoint_delta_signed,endpoint_delta_abs,volume_residual,abs_volume_residual
BAT_00954,Li0-1Mn4(PO4)3,Mn4(PO4)3,Mn4(PO4)3,LiMn4(PO4)3,Li,4.095810958333321,52.38682662760285,162.92156439319598,214.56653857364356,667.2959287904599,0.025939804647934,0.060471764473653,0.041747007874993,1,3,Mn-O-P,"Mn,P,O",mp-705354,mp-31931,"mp-705354,mp-585388,mp-31931",,"['Mn', 'P', 'O']",True,True,False,False,True,False,True,0.060471764473653,BAT_00954_mp-705354.cif,BAT_00954_mp-31931.cif,downloaded,downloaded,532.521855797585,546.3353691082001,2.0,2.0,266.2609278987925,273.16768455410005,0.025939805399960388,0.025939805399960388,-7.520263890781198e-10,7.520263890781198e-10
BAT_00955,Li1-2Mn(PO3)4,Mn(PO3)4,LiMn(PO3)4,Li2Mn(PO3)4,Li,4.764521593333318,69.66709452297067,190.84118259870576,331.93037619948706,909.2669353888002,0.024296112657451,0.091546015416652,0.048428925087752,1,3,Mn-O-P,"Mn,P,O",mp-689967,mp-540477,"mp-689967,mp-540477",More than one working ion per transition metal,"['Mn', 'P', 'O']",True,True,False,False,True,False,True,0.091546015416652,BAT_00955_mp-689967.cif,BAT_00955_mp-540477.cif,downloaded,downloaded,227.67233894132605,233.20389199314496,1.0,1.0,227.67233894132605,233.20389199314496,0.024296113781500997,0.024296113781500997,-1.1240499954434657e-09,1.1240499954434657e-09
BAT_00956,Li1-2Mn(PO4)2,Mn(PO4)2,LiMn(PO4)2,Li2Mn(PO4)2,Li,5.18018951833334,103.57549213489786,293.42896048903117,536.5406787134152,1520.017625500727,0.002805136997757,0.079415136458342,0.004694524423081,1,3,Mn-O-P,"Mn,P,O",mp-753867,mp-753291,"mp-753867,mp-753291",More than one working ion per transition metal,"['Mn', 'P', 'O']",True,True,False,False,True,False,True,0.079415136458342,BAT_00956_mp-753867.cif,BAT_00956_mp-753291.cif,downloaded,downloaded,304.1945740656251,303.3436535122255,2.0,2.0,152.09728703281255,151.67182675611275,-0.0027972903724969704,0.0027972903724969704,7.84662526002967e-06,7.84662526002967e-06
BAT_00957,Li1-3Mn(PO4)2,Mn(PO4)2,LiMn(PO4)2,Li3Mn(PO4)2,Li,4.493124225833331,201.73956317017007,621.459961221103,906.4409185889248,2792.2968071479804,0.059943619233691,0.076821810625008,0.02821876500005,2,3,Mn-O-P,"Mn,P,O",mp-867825,mp-31972,"mp-867825,mp-1101557,mp-31972",More than one working ion per transition metal,"['Mn', 'P', 'O']",True,True,False,False,True,False,True,0.076821810625008,BAT_00957_mp-867825.cif,BAT_00957_mp-31972.cif,downloaded,downloaded,540.5077952644219,572.9077884663848,4.0,4.0,135.12694881610548,143.2269471165962,0.059943618733773185,0.059943618733773185,4.999178154774242e-10,4.999178154774242e-10
BAT_00958,Li1-2MnP2O7,MnP2O7,LiMnP2O7,Li2MnP2O7,Li,3.943506073333329,110.401669147061,305.83610823952915,435.3696527875719,1206.0665502872123,0.057256430655618,0.017101070681831,0.006747169999972,1,3,Mn-O-P,"Mn,P,O",mp-31960,mp-1101535,"mp-31960,mp-1101535",More than one working ion per transition metal,"['Mn', 'P', 'O']",True,True,False,False,True,False,True,0.017101070681831,BAT_00958_mp-31960.cif,BAT_00958_mp-1101535.cif,downloaded,downloaded,275.27628225135277,582.0752395945248,2.0,4.0,137.63814112567638,145.5188098986312,0.05725643130968344,0.05725643130968344,-6.540654406972379e-10,6.540654406972379e-10
BAT_00959,Li0.5-1MnPO4,MnPO4,LiMn2(PO4)2,LiMnPO4,Li,4.163795528333343,85.43644118616756,244.8010372571217,355.7398717676791,1019.3014642625674,0.003575539428858,0.08264630288461,0.049456714285708,1,3,Mn-O-P,"Mn,P,O",mp-753423,mp-857355,"mp-753423,mp-857355",,"['Mn', 'P', 'O']",True,True,False,False,True,False,True,0.08264630288461,BAT_00959_mp-753423.cif,BAT_00959_mp-857355.cif,downloaded,downloaded,362.3051999522721,363.60063630100484,4.0,4.0,90.57629998806803,90.90015907525121,0.0035755389348631327,0.0035755389348631327,4.939948671477123e-10,4.939948671477123e-10
BAT_00960,Li0-2Mn3(P2O7)2,Mn3(P2O7)2,Mn3(P2O7)2,Li2Mn3(P2O7)2,Li,3.994505840833317,101.7939895135686,322.04817815736374,406.6166856736752,1286.423328679318,0.041348009772475,0.018519525714294,0.008266204782615,1,3,Mn-O-P,"Mn,P,O",mp-694554,mp-26083,"mp-694554,mp-26083",,"['Mn', 'P', 'O']",True,True,False,False,True,False,True,0.018519525714294,BAT_00960_mp-694554.cif,BAT_00960_mp-26083.cif,downloaded,downloaded,504.7304655813316,552.7732746449676,2.0,2.0,252.3652327906658,276.3866373224838,0.09518507865044747,0.09518507865044747,-0.05383706887797247,0.05383706887797247
BAT_00961,Li0-1Mn2P2O9,Mn2P2O9,Mn2P2O9,LiMn2P2O9,Li,4.71563363333333,83.0386244073698,269.8939369522879,391.579730121127,1272.7209265249542,0.000548048714217,0.052275500192309,0.02111315517858,1,3,Mn-O-P,"Mn,P,O",mp-1040954,mp-1097049,"mp-1040954,mp-1097049",,"['Mn', 'P', 'O']",True,True,False,False,True,False,True,0.052275500192309,BAT_00961_mp-1040954.cif,BAT_00961_mp-1097049.cif,downloaded,downloaded,659.2297627069013,659.5910527307268,4.0,4.0,164.80744067672532,164.8977631826817,0.0005480487142176411,0.0005480487142176411,-6.410887445906788e-16,6.410887445906788e-16
BAT_00962,Li0.5-1.75MnP2O7,MnP2O7,LiMn2(P2O7)2,Li7Mn4(P2O7)4,Li,4.7548467473333345,138.9956141661001,410.80977570280385,660.9028439112802,1953.3375257732137,0.045968971930546,0.097221177380959,0.012438380585105,3,3,Mn-O-P,"Mn,P,O",mp-849633,mp-1176940,"mp-849633,mp-1177888,mp-849626,mp-849621,mp-849756,mp-1177764,mp-849717,mp-1177785,mp-777776,mp-1176663,mp-849674,mp-1176822,mp-1176713,mp-1176685,mp-849692,mp-776469,mp-849721,mp-849723,mp-849605,mp-1176710,mp-1177392,mp-1177157,mp-1177149,mp-849726,mp-849659,mp-849607,mp-1177128,mp-1177416,mp-1177173,mp-1177698,mp-849996,mp-753725,mp-849745,mp-849644,mp-849655,mp-1177664,mp-849650,mp-1176940,mp-1177074,mp-1176910,mp-849679,mp-1176911,mp-1177127,mp-849806,mp-1176957,mp-1176907,mp-1177028,mp-1177043,mp-554804",More than one working ion per transition metal,"['Mn', 'P', 'O']",True,True,False,False,True,False,True,0.097221177380959,BAT_00962_mp-849633.cif,BAT_00962_mp-1176940.cif,downloaded,downloaded,1035.7342112097056,1083.3458478474654,8.0,8.0,129.4667764012132,135.41823098093317,0.04596897169414816,0.04596897169414816,2.363978388042476e-10,2.363978388042476e-10
BAT_00963,Li1-3Mn(PO4)2,Mn(PO4)2,LiMn(PO4)2,Li3Mn(PO4)2,Li,4.595243854583328,201.73956317017007,613.151814181152,927.042487884049,2817.582106042557,0.029425151172906,0.082473657708342,0.018474686964336,2,3,Mn-O-P,"Mn,P,O",mp-754179,mp-753513,"mp-754179,mp-766444,mp-753513",More than one working ion per transition metal,"['Mn', 'P', 'O']",True,True,False,False,True,False,True,0.082473657708342,BAT_00963_mp-754179.cif,BAT_00963_mp-753513.cif,downloaded,downloaded,282.72646329490726,580.6706322183604,2.0,4.0,141.36323164745363,145.1676580545901,0.02691241819247844,0.02691241819247844,0.0025127329804275587,0.0025127329804275587
