battery_id,framework_formula,graph_file,status,num_atoms,num_edges
BAT_02019,VO3F,BAT_02019.pt,success,10,366
BAT_02020,V2(OF)3,BAT_02020.pt,success,24,898
BAT_02022,V2OF5,BAT_02022.pt,success,24,1134
BAT_02025,VOF4,BAT_02025.pt,success,12,352
BAT_02026,V4O5F7,BAT_02026.pt,success,16,598
BAT_02028,V3OF11,BAT_02028.pt,success,30,1036
BAT_02029,V2OF5,BAT_02029.pt,success,32,1256
BAT_02030,V4(OF3)3,BAT_02030.pt,success,16,604
BAT_02031,V4O5F7,BAT_02031.pt,success,16,596
BAT_02033,Rb2VF6,BAT_02033.pt,success,9,220
BAT_02035,VF6,BAT_02035.pt,success,56,1706
BAT_02036,V3F10,BAT_02036.pt,success,26,932
BAT_02038,VF7,BAT_02038.pt,success,8,176
BAT_02039,VF6,BAT_02039.pt,success,7,206
BAT_02040,VF5,BAT_02040.pt,success,12,352
BAT_02042,VF5,BAT_02042.pt,success,12,412
BAT_02043,VF4,BAT_02043.pt,success,20,680
BAT_02044,VF5,BAT_02044.pt,success,24,704
BAT_02045,VF3,BAT_02045.pt,success,16,624
BAT_02046,V2F7,BAT_02046.pt,success,18,656
BAT_02047,VF5,BAT_02047.pt,success,24,784
BAT_02048,VF6,BAT_02048.pt,success,42,1208
BAT_02049,VF6,BAT_02049.pt,success,7,194
BAT_02050,V2F7,BAT_02050.pt,success,18,564
BAT_02051,VF8,BAT_02051.pt,success,9,244
BAT_02053,VF8,BAT_02053.pt,success,9,200
BAT_02054,VF6,BAT_02054.pt,success,14,448
BAT_02055,VF6,BAT_02055.pt,success,7,216
BAT_02056,VF4,BAT_02056.pt,success,5,164
BAT_02057,VF5,BAT_02057.pt,success,24,660
BAT_02058,VF6,BAT_02058.pt,success,14,432
BAT_02059,VF6,BAT_02059.pt,success,14,352
BAT_02060,VF5,BAT_02060.pt,success,48,1584
BAT_02061,VF3,BAT_02061.pt,success,8,288
BAT_02062,VF6,BAT_02062.pt,success,7,284
BAT_02063,VF6,BAT_02063.pt,success,14,432
BAT_02064,VF5,BAT_02064.pt,success,24,784
BAT_02066,VF5,BAT_02066.pt,success,24,824
BAT_02067,VF5,BAT_02067.pt,success,12,340
BAT_02068,VF5,BAT_02068.pt,success,12,344
BAT_02069,VF5,BAT_02069.pt,success,24,660
BAT_02070,VF4,BAT_02070.pt,success,20,624
BAT_02072,VF6,BAT_02072.pt,success,28,896
BAT_02075,V2F7,BAT_02075.pt,success,36,1084
