battery_id,framework_formula,id_charge,id_discharge,charge_file,discharge_file,charge_status,discharge_status
BAT_00679,Fe2O2F3,mp-755377,mp-756358,BAT_00679_mp-755377.cif,BAT_00679_mp-756358.cif,downloaded,downloaded
BAT_00680,FeO5F,mp-764903,mp-776549,BAT_00680_mp-764903.cif,BAT_00680_mp-776549.cif,downloaded,downloaded
BAT_00682,Fe5OF11,mp-1178251,mp-778257,BAT_00682_mp-1178251.cif,BAT_00682_mp-778257.cif,downloaded,downloaded
BAT_00683,Fe5OF11,mp-1178250,mp-779353,BAT_00683_mp-1178250.cif,BAT_00683_mp-779353.cif,downloaded,downloaded
BAT_00684,FeOF5,mp-779064,mp-777279,BAT_00684_mp-779064.cif,BAT_00684_mp-777279.cif,downloaded,downloaded
BAT_00685,Fe7(OF7)2,mp-777455,mp-757088,BAT_00685_mp-777455.cif,BAT_00685_mp-757088.cif,downloaded,downloaded
BAT_00689,Fe3OF7,mp-1178324,mp-764593,BAT_00689_mp-1178324.cif,BAT_00689_mp-764593.cif,downloaded,downloaded
BAT_00690,Fe2Si2O7,mp-780866,mp-759016,BAT_00690_mp-780866.cif,BAT_00690_mp-759016.cif,downloaded,downloaded
BAT_00691,FeSiO4,mp-759053,mp-759575,BAT_00691_mp-759053.cif,BAT_00691_mp-759575.cif,downloaded,downloaded
BAT_00692,FeSiO4,mp-758499,mp-758823,BAT_00692_mp-758499.cif,BAT_00692_mp-758823.cif,downloaded,downloaded
BAT_00693,FeSiO4,mp-766542,mp-764340,BAT_00693_mp-766542.cif,BAT_00693_mp-764340.cif,downloaded,downloaded
BAT_00694,FeSiO5,mp-759075,mp-764341,BAT_00694_mp-759075.cif,BAT_00694_mp-764341.cif,downloaded,downloaded
BAT_00695,Fe3(SiO4)2,mp-850744,mp-759106,BAT_00695_mp-850744.cif,BAT_00695_mp-759106.cif,downloaded,downloaded
BAT_00696,Fe2Si3O10,mp-779820,mp-757438,BAT_00696_mp-779820.cif,BAT_00696_mp-757438.cif,downloaded,downloaded
BAT_00697,FeSiO4,mp-759087,mp-758421,BAT_00697_mp-759087.cif,BAT_00697_mp-758421.cif,downloaded,downloaded
BAT_00698,FeSiO4,mp-758574,mp-764346,BAT_00698_mp-758574.cif,BAT_00698_mp-764346.cif,downloaded,downloaded
BAT_00699,FeSiO4,mp-758506,mp-760096,BAT_00699_mp-758506.cif,BAT_00699_mp-760096.cif,downloaded,downloaded
