battery_id,framework_formula,num_steps,max_delta_volume,endpoint_delta_abs,volume_residual,abs_volume_residual,contains_F,contains_V,contains_Mn,contains_Fe,contains_Co,contains_Ni
BAT_02205,FeO3,2,0.082214591108193,0.0822145911081933,-3.747002708109903e-16,3.747002708109903e-16,True,False,False,True,False,False
BAT_02206,FeO2,2,0.022473206979525,0.0220268253398319,0.000446381639693,0.000446381639693,True,False,False,True,False,False
BAT_02207,FeO4,2,0.007486662302005,0.057249139126148,-0.049762476824143,0.049762476824143,True,False,False,True,False,False
BAT_02208,FeO4,2,0.060733737551059,0.0607337366689213,8.821376198953067e-10,8.821376198953067e-10,True,False,False,True,False,False
BAT_02209,Fe3O8,2,0.069485130305245,0.0694851309303988,-6.251538869905814e-10,6.251538869905814e-10,True,False,False,True,False,False
BAT_02210,Fe5O12,1,0.011055036190295,0.0551647195520478,-0.0441096833617528,0.0441096833617528,True,False,False,True,False,False
BAT_02211,Fe5O12,1,0.007595909659903,0.0075959106352506,-9.753476490001467e-10,9.753476490001467e-10,True,False,False,True,False,False
BAT_02212,FeO3,2,0.061864512651689,0.0542265873020783,0.0076379253496106,0.0076379253496106,True,False,False,True,False,False
BAT_02214,Fe3O8,1,0.001654921224394,0.0016521865925254,2.734631868542411e-06,2.734631868542411e-06,True,False,False,True,False,False
BAT_02215,Fe5O8,1,0.1027480906686,0.093174579751069,0.0095735109175309,0.0095735109175309,True,False,False,True,False,False
BAT_02216,FeO4,1,0.018907646671689,0.0189076465889366,8.275234317234315e-11,8.275234317234315e-11,True,False,False,True,False,False
BAT_02217,Fe7O12,2,0.020081952248003,0.0200819519118232,3.36179747234544e-10,3.36179747234544e-10,True,False,False,True,False,False
BAT_02218,Fe5O16,1,0.053647545794303,0.053647546575741,-7.814380600934533e-10,7.814380600934533e-10,True,False,False,True,False,False
BAT_02219,Fe5O12,1,0.02701820784141,0.027018208937685,-1.0962750915388675e-09,1.0962750915388675e-09,True,False,False,True,False,False
BAT_02221,FeO2,1,0.077727118065087,0.0777271207541168,-2.6890298737702878e-09,2.6890298737702878e-09,True,False,False,True,False,False
BAT_02222,FeO2,1,0.111444197575247,0.111444197551431,2.381592145717093e-11,2.381592145717093e-11,True,False,False,True,False,False
BAT_02224,FeO2,1,0.001771649501683,0.0017685173945956,3.1321070873148015e-06,3.1321070873148015e-06,True,False,False,True,False,False
BAT_02225,FeO2,1,0.030775845469782,0.0298569737116993,0.0009188717580826,0.0009188717580826,True,False,False,True,False,False
BAT_02227,FeO3,1,0.008656131763094,0.0086561322670018,-5.039078234542194e-10,5.039078234542194e-10,True,False,False,True,False,False
