battery_id,framework_formula,formula_charge,formula_discharge,id_charge,id_discharge,max_delta_volume,num_steps
BAT_00078,MnBO3,LiMn3(BO3)3,Li5Mn6(BO3)6,mp-780665,mp-766536,0.038421969278134,2
BAT_00079,MnBO3,LiMn2(BO3)2,Li7Mn8(BO3)8,mp-779023,mp-779296,0.027189375629869,2
BAT_00080,MnBO3,LiMn2(BO3)2,Li7Mn8(BO3)8,mp-778827,mp-779303,0.000386347319183,1
BAT_00081,Mn(BO3)2,Li2Mn(BO3)2,Li3Mn(BO3)2,mp-766466,mp-770910,0.034547333726739,1
BAT_00082,MnBO3,Li5Mn8(BO3)8,Li7Mn8(BO3)8,mp-776580,mp-781628,0.018003279455586,2
BAT_00083,MnBO3,LiMn3(BO3)3,Li5Mn6(BO3)6,mp-776450,mp-781617,0.027181045131234,2
BAT_00085,MnBO3,LiMn2(BO3)2,Li3Mn4(BO3)4,mp-849746,mp-776634,0.000960955898699,1
BAT_00086,MnBO3,LiMn2(BO3)2,Li7Mn8(BO3)8,mp-849990,mp-779028,0.008125268354417,2
BAT_00088,MnBO3,LiMn2(BO3)2,Li3Mn4(BO3)4,mp-778403,mp-781619,0.005359914441086,1
BAT_00089,MnBO3,LiMn2(BO3)2,Li3Mn4(BO3)4,mp-777375,mp-778867,0.009288595783659,1
BAT_00090,MnBO3,LiMn2(BO3)2,Li3Mn4(BO3)4,mp-1176667,mp-780137,0.00930063258546,1
BAT_00091,MnBO3,LiMn3(BO3)3,Li5Mn6(BO3)6,mp-849514,mp-782643,0.028289474365483,1
BAT_00092,MnBO3,LiMn3(BO3)3,Li5Mn6(BO3)6,mp-781607,mp-780156,0.026231591308557,2
BAT_00093,MnBO3,LiMn3(BO3)3,Li5Mn6(BO3)6,mp-849243,mp-781670,0.021178317317151,2
BAT_00094,MnBO3,LiMn2(BO3)2,Li3Mn4(BO3)4,mp-1567236,mp-780105,0.007563580992514,1
BAT_00095,MnBO3,LiMn3(BO3)3,Li5Mn6(BO3)6,mp-780327,mp-850959,0.026885968822346,2
BAT_00097,MnBO3,LiMn3(BO3)3,Li5Mn6(BO3)6,mp-780524,mp-780199,0.020447172773733,2
BAT_00099,MnBO3,LiMn2(BO3)2,Li3Mn4(BO3)4,mp-781608,mp-780529,0.012778733426141,1
BAT_00100,MnBO3,LiMn3(BO3)3,Li5Mn6(BO3)6,mp-850395,mp-780419,0.023301190841429,2
BAT_00101,MnBO3,LiMn4(BO3)4,Li3Mn4(BO3)4,mp-850920,mp-781610,0.019310941469961,1
BAT_00102,MnBO3,LiMn2(BO3)2,Li5Mn6(BO3)6,mp-782642,mp-780433,0.016704537980735,1
BAT_00106,MnBPO7,Li2MnBPO7,Li3MnBPO7,mp-771706,mp-757046,0.014011071125088,1
BAT_00108,NiBO3,Li2Ni3(BO3)3,LiNiBO3,mp-1177892,mp-755271,0.001379148808547,1
BAT_00109,VBPO7,Li2VBPO7,Li3VBPO7,mp-771701,mp-768575,0.058294419992003,1
BAT_00114,VBO4,VBO4,LiVBO4,mp-754594,mp-754909,0.125161862215333,1
BAT_00118,BaCaVP2O9,BaCaVP2O9,BaLiCaVP2O9,mp-558004,mp-759611,0.030352964284559,1
BAT_00149,Co3BiO8,Co3BiO8,Li2Co3BiO8,mp-756635,mp-756423,0.014538857382409,1
BAT_00180,V3Bi2(PO4)6,V3Bi2(PO4)6,Li5V3Bi2(PO4)6,mp-772437,mp-1177171,0.072933733742921,1
BAT_00199,CoH8(CO5)2,LiCoH8(CO5)2,Li2CoH8(CO5)2,mp-759255,mp-770598,0.0483715991521,1
BAT_00200,CoH8(CO5)2,CoH8(CO5)2,Li2CoH8(CO5)2,mp-772431,mp-770604,0.031332658649707,1
BAT_00201,NaCoPCO7,NaCoPCO7,NaLi2CoPCO7,mp-1101670,mp-760344,0.036319852034025,1
BAT_00202,Co2(CO3)3,Co2(CO3)3,Li2Co2(CO3)3,mp-752772,mp-757737,0.022771052596862,2
BAT_00203,Co(CO3)2,Co(CO3)2,Li2Co(CO3)2,mp-752886,mp-1178046,0.171645120157025,2
BAT_00204,Co(CO3)2,LiCo2(CO3)4,Li2Co(CO3)2,mp-758717,mp-753950,0.123996110140818,3
BAT_00205,CoCO4,LiCoCO4,Li2CoCO4,mp-758392,mp-757730,0.006029008894159,1
BAT_00206,Co(CO)4,Co(CO)4,LiCo(CO)4,mp-510741,mp-18939,0.075443762962508,1
BAT_00207,Co2C2O7,Co2C2O7,LiCo2C2O7,mp-753266,mp-758625,0.054035811782951,1
BAT_00209,Co(CO3)2,Li3Co2(CO3)4,Li2Co(CO3)2,mp-1641018,mp-767071,0.007545293713089,1
BAT_00210,Co2C2O7,Co2C2O7,LiCo2C2O7,mp-1178537,mp-758125,0.06969451050493,1
BAT_00211,CoPCO7,LiCoPCO7,Li3CoPCO7,mp-25464,mp-25458,0.035333173796732,2
BAT_00212,Co2C4SO16,Li4Co2C4SO16,Li6Co2C4SO16,mp-770944,mp-780426,0.042168179628257,1
BAT_00213,CoCSO7,LiCoCSO7,Li2CoCSO7,mp-773196,mp-771972,0.025522692372991,1
BAT_00214,Cr(CO3)3,Li2Cr(CO3)3,Li3Cr(CO3)3,mp-780684,mp-765400,0.015554904778144,1
BAT_00215,Cr(CO3)2,Li2Cr3(CO3)6,Li4Cr3(CO3)6,mp-757965,mp-758282,0.001137918581778,1
BAT_00216,Cr(CO3)2,LiCr2(CO3)4,Li2Cr(CO3)2,mp-753855,mp-753778,0.130151434901688,2
BAT_00217,CrPCO7,Li3Cr2P2(CO7)2,Li5Cr2P2(CO7)2,mp-763241,mp-1177167,0.039191745605243,2
BAT_00220,CrCSO7,LiCrCSO7,Li2CrCSO7,mp-773160,mp-768607,0.040340757880959,1
